Idusuario,Deslogin,Dessenha,Dtcadastro
20,aluno,@alun0,2022-10-26 20:22:37
21,aluno,@alun0,2022-10-26 20:22:47
22,aluno,@alun0,2022-10-26 20:24:39
4,jose,12345678,2022-09-20 15:57:24
5,jose,12345678,2022-09-20 15:57:29
6,jose,12345678,2022-09-20 15:57:34
7,jose,12345678,2022-09-20 15:57:39
9,jose,12345678,2022-09-20 15:57:50
10,jose,12345678,2022-09-20 15:57:55
11,jose,12345678,2022-09-20 15:58:00
12,jose,12345678,2022-09-20 15:58:06
13,jose,12345678,2022-09-20 15:58:11
14,jose,12345678,2022-09-20 15:58:16
15,jose,12345678,2022-09-20 15:58:22
16,jose,12345678,2022-09-20 15:58:28
17,jose,12345678,2022-09-20 15:58:34
18,jose,12345678,2022-09-20 15:58:40
19,jose,12345678,2022-09-20 15:58:45
3,root,!@#$,2022-08-21 23:54:13
